Date,stock_mkt,RF,trend,trend_gate,exposure,strategy_return,trend_only_return,buy_hold_return
1974-06-27,-0.0151,0.0003,-0.018587051347513338,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0151
1974-06-28,-0.0055,0.0003,-0.018587051347513338,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0055
1974-07-01,-0.0015,0.0003,-0.01770788573371822,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0015
1974-07-02,-0.021,0.0003,-0.01770788573371822,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.021
1974-07-03,-0.0013,0.0003,-0.01770788573371822,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0013
1974-07-05,-0.0053999999999999,0.0003,-0.01770788573371822,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0053999999999999
1974-07-08,-0.0317,0.0003,-0.01770788573371822,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0317
1974-07-09,0.0027,0.0003,-0.01770788573371822,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0027
1974-07-10,-0.0172,0.0003,-0.01770788573371822,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0172
1974-07-11,-0.0011,0.0003,-0.01770788573371822,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0011
1974-07-12,0.0404,0.0003,-0.01770788573371822,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0404
1974-07-15,0.0082,0.0003,-0.01770788573371822,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0082
1974-07-16,-0.0101,0.0003,-0.01770788573371822,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0101
1974-07-17,0.0111,0.0003,-0.01770788573371822,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0111
1974-07-18,0.0021,0.0003,-0.01770788573371822,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0021
1974-07-19,-0.0008,0.0003,-0.01770788573371822,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0008
1974-07-22,0.0031999999999999,0.0003,-0.01770788573371822,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0031999999999999
1974-07-23,0.0106,0.0003,-0.01770788573371822,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0106
1974-07-24,0.0039,0.0003,-0.01770788573371822,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0039
1974-07-25,-0.0116999999999999,0.0003,-0.01770788573371822,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0116999999999999
1974-07-26,-0.017,0.0003,-0.01770788573371822,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.017
1974-07-29,-0.0177,0.0003,-0.01770788573371822,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0177
1974-07-30,-0.0053,0.0003,-0.01770788573371822,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0053
1974-07-31,-0.0148,0.0003,-0.01770788573371822,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0148
1974-08-01,-0.0063,0.0003,-0.030635681564704365,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0063
